allan1,allan2
50047,51227
50054,51234
50061,51240
50068,51247
50074,51253
50082,51259
50088,51266
50096,51273
50102,51279
50109,51286
50116,51293
50123,51299
50131,51306
50137,51312
50144,51318
50151,51326
50158,51332
50165,51338
50172,51345
50178,51351
50186,51357
50192,51364
50200,51371
50206,51378
50213,51384
50220,51390
50227,51397
50234,51404
50241,51410
50248,51417
50255,51424
50262,51430
50269,51436
50276,51443
50283,51450
50289,51456
50296,51463
50303,51470
50310,51476
50317,51483
50324,51489
50331,51495
50339,51502
50345,51509
50352,51515
50359,51521
50366,51527
50372,51535
50380,51541
50387,51548
50394,51554
50401,51561
50408,51567
50414,51573
50421,51581
50428,51587
50435,51593
50442,51599
50449,51607
50456,51613
50462,51619
50470,51626
50476,51633
50483,51639
50490,51646
50497,51652
50504,51659
50511,51665
50518,51671
50524,51678
50532,51684
50538,51691
50545,51697
50553,51704
50559,51710
50566,51716
50573,51724
50581,51730
50587,51736
50594,51743
50601,51750
50608,51756
50616,51762
50622,51768
50629,51776
50636,51782
50643,51788
50649,51795
50657,51801
50663,51808
50670,51815
50677,51821
50684,51827
50691,51834
50698,51840
50705,51847
50712,51853
50718,51860
50726,51866
50733,51872
50739,51880
50746,51886
50754,51892
50760,51898
50767,51906
50774,51912
50781,51918
50788,51925
50796,51932
50802,51938
50809,51944
50816,51951
50823,51957
50829,51964
50836,51971
50844,51977
50850,51983
50857,51991
50864,51997
50871,52003
50879,52010
50885,52016
50893,52023
50900,52029
50906,52035
50914,52042
50921,52048
50927,52055
50934,52061
50942,52068
50948,52074
50955,52080
50962,52087
50969,52094
50976,52100
50983,52106
50990,52114
50997,52120
51004,52126
51011,52132
51018,52140
51024,52146
51032,52152
51038,52158
51046,52166
51054,52172
51060,52178
51067,52185
51074,52191
51081,52198
51088,52204
51095,52211
51102,52217
51109,52224
51116,52230
51122,52237
51130,52243
51136,52250
51144,52256
51150,52262
51157,52269
51164,52276
51171,52283
51177,52289
51185,52295
51191,52302
51199,52308
51205,52315
51212,52321
51219,52328
51226,52334
51233,52340
51239,52348
51247,52354
51253,52361
51261,52367
51267,52374
51275,52380
51281,52386
51288,52394
51295,52400
51302,52406
51309,52413
51315,52419
51323,52426
51329,52433
51337,52439
51343,52446
51350,52452
51357,52459
51364,52465
51371,52472
51378,52478
51385,52485
51393,52491
51399,52498
51406,52505
51413,52511
51420,52517
51427,52524
51434,52530
51441,52536
51448,52544
51454,52550
51462,52556
51468,52562
51475,52569
51482,52576
51489,52582
51496,52588
51503,52594
51510,52602
51517,52608
51524,52614
51530,52620
51538,52628
51544,52634
51551,52640
51558,52646
51566,52653
51572,52660
51580,52666
51586,52672
51594,52679
51600,52685
51608,52692
51614,52699
51622,52705
51628,52711
51635,52718
51642,52724
51648,52730
51656,52737
51662,52744
51669,52750
51676,52757
51683,52763
51691,52769
51697,52776
51704,52782
51711,52789
51718,52796
51725,52802
51731,52808
51739,52815
51745,52822
51752,52828
51759,52834
51766,52842
51773,52848
51779,52854
51786,52861
51794,52868
51800,52874
51808,52880
51815,52887
51822,52894
51828,52900
51836,52907
51842,52913
51849,52920
51855,52926
51863,52933
51869,52940
51876,52947
51883,52953
51890,52959
51897,52967
51904,52973
51910,52979
51917,52985
51925,52993
51931,52999
51938,53005
51945,53011
51952,53018
51959,53024
51966,53030
51972,53037
51980,53044
51987,53050
51993,53057
52000,53063
52008,53069
52014,53076
52022,53083
52028,53089
52035,53095
52042,53102
52049,53109
52056,53115
52062,53121
52069,53128
52075,53135
52083,53141
52090,53147
52097,53154
52103,53161
52110,53167
52118,53174
52124,53181
52131,53187
52138,53194
52145,53200
52152,53207
52159,53213
52166,53219
52172,53226
52179,53233
52186,53239
52194,53246
52200,53252
52207,53258
52214,53265
52221,53272
52227,53278
52235,53284
52242,53291
52249,53298
52256,53304
52263,53310
52270,53317
52277,53324
52284,53330
52291,53336
52297,53343
52305,53350
52312,53356
52318,53362
52325,53369
52332,53375
52339,53381
52346,53389
52353,53395
52359,53401
52367,53407
52374,53415
52380,53421
52388,53427
52394,53434
52401,53440
52408,53446
52415,53453
52421,53460
52429,53466
52436,53473
52442,53479
52450,53486
52457,53492
52463,53500
52471,53506
52478,53512
52484,53519
52492,53525
52499,53531
52505,53539
52512,53545
52519,53551
52526,53558
52533,53564
52540,53570
52547,53577
52554,53583
52560,53590
52568,53597
52574,53603
52581,53609
52588,53615
52595,53623
52602,53629
52609,53635
52616,53642
52622,53648
52629,53654
52637,53661
52644,53667
52651,53674
52658,53680
52664,53687
52672,53693
52679,53699
52685,53707
52693,53713
52699,53719
52706,53726
52713,53733
52720,53739
52727,53745
52734,53752
52741,53759
52748,53765
52754,53771
52762,53778
52768,53785
52775,53791
52783,53797
52789,53805
52796,53811
52803,53817
52811,53824
52817,53831
52824,53837
52830,53843
52838,53850
52845,53857
52851,53863
52859,53870
52866,53876
52872,53883
52879,53889
52887,53896
52894,53902
52901,53908
52907,53915
52915,53921
52922,53928
52928,53935
52935,53941
52943,53948
52949,53954
52956,53961
52963,53967
52971,53974
52978,53981
52985,53987
52991,53993
52999,54000
53006,54007
53013,54013
53019,54020
53026,54026
53034,54033
53040,54040
53047,54046
53054,54052
53061,54060
53069,54066
53075,54072
53082,54078
53089,54086
53096,54092
53102,54098
53110,54106
53117,54112
53123,54118
53131,54125
53137,54132
53145,54138
53151,54145
53158,54151
53166,54158
53172,54164
53179,54171
53186,54177
53193,54184
53199,54191
53207,54197
53213,54203
53220,54210
53228,54217
53234,54223
53242,54230
53248,54236
53255,54243
53262,54249
53269,54257
53276,54262
53282,54269
53290,54275
53296,54282
53304,54289
53310,54295
53317,54301
53323,54308
53331,54315
53337,54321
53344,54328
53351,54335
53358,54341
53365,54347
53372,54354
53379,54360
53385,54366
53393,54372
53400,54380
53406,54386
53413,54392
53420,54399
53427,54406
53434,54412
53440,54418
53448,54425
53455,54431
53462,54439
53468,54445
53476,54451
53482,54459
53489,54465
53497,54471
53503,54478
53510,54484
53517,54491
53524,54497
53530,54504
53538,54510
53545,54516
53552,54524
53558,54530
53565,54536
53573,54542
53580,54549
53586,54555
53593,54561
53600,54569
53606,54575
53614,54581
53621,54588
53627,54595
53634,54601
53642,54607
53648,54614
53655,54621
53662,54628
53669,54634
53676,54640
53683,54647
53690,54653
53697,54659
53703,54667
53710,54673
53717,54679
53724,54685
53731,54692
53738,54698
53745,54705
53751,54712
53759,54718
53765,54725
53773,54731
53780,54737
53786,54745
53793,54751
53800,54757
53807,54764
53814,54771
53821,54777
53828,54783
53835,54790
53842,54797
53848,54803
53855,54809
53863,54816
53870,54822
53876,54829
53884,54835
53891,54841
53897,54848
53904,54855
53911,54861
53919,54867
53925,54874
53933,54880
53939,54887
53946,54894
53953,54900
53961,54907
53967,54913
53975,54919
53981,54926
53988,54933
53995,54940
54002,54946
54009,54953
54015,54959
54023,54965
54029,54973
54037,54979
54043,54985
54050,54992
54058,54998
54064,55005
54071,55011
54078,55018
54085,55024
54092,55031
54098,55037
54105,55044
54112,55051
54119,55057
54125,55063
54133,55069
54140,55077
54146,55083
54154,55089
54160,55095
54168,55102
54175,55109
54181,55115
54188,55122
54196,55128
54203,55134
54210,55141
54216,55147
54223,55154
54230,55160
54237,55167
54243,55174
